tipo;arrival_time;memoria_pedida;processamento_pedido;tempo_pedido;n_servidores_low_mem(1000 - 3000);n_servidores_low_cpu(1000 - 3000);n_servidores_med_mem(3000 - 7000);n_servidores_med_cpu(3000 - 7000);n_servidores_high_mem(7000 - 10000);n_servidores_high_cpu(7000 - 10000); tempo_de_espera 
1;0;905;524;906;1;2;1;0;1;1;0
1;0;911;426;952;1;2;1;0;1;1;0
1;0;675;770;967;1;2;1;0;1;1;0
0;0;527;255;781;1;2;1;0;1;1;0
0;0;863;961;987;1;2;1;0;1;1;0
0;0;930;107;891;1;2;1;0;1;1;0
1;0;764;729;668;1;2;1;0;1;1;0
2;0;264;732;803;1;2;1;0;1;1;0
1;0;707;693;777;1;2;1;0;1;1;0
0;0;384;572;431;1;2;1;0;1;1;0
2;0;883;128;492;1;2;1;0;1;1;0
0;0;432;828;775;1;2;1;0;1;1;0
1;0;370;719;123;1;2;1;0;1;1;0
0;0;511;583;443;1;2;1;0;1;1;0
2;0;485;620;650;1;2;1;0;1;1;0
0;0;251;277;267;1;2;1;0;1;1;0
1;0;290;603;977;1;2;1;0;1;1;0
1;0;568;494;739;1;2;1;0;1;1;0
0;0;998;219;395;1;2;1;0;1;1;0
2;0;782;552;649;1;2;1;0;1;1;0
0;0;454;294;700;1;2;1;0;1;1;0
2;0;210;598;218;1;2;1;0;1;1;0
2;0;996;779;619;1;2;1;0;1;1;0
1;0;154;858;639;1;2;1;0;1;1;218
1;0;753;440;657;1;2;1;0;1;1;443
0;0;561;582;686;1;2;1;0;1;1;492
0;0;184;537;175;1;2;1;0;1;1;492
0;0;841;967;768;1;2;1;0;1;1;619
2;0;807;940;503;1;2;1;0;1;1;952
0;0;794;217;851;1;2;1;0;1;1;649
2;0;751;986;722;1;2;1;0;1;1;1455
0;0;887;808;756;1;2;1;0;1;1;650
0;0;284;251;468;1;2;1;0;1;1;667
0;0;470;191;330;1;2;1;0;1;1;619
0;0;698;559;853;1;2;1;0;1;1;668
0;0;107;433;948;1;2;1;0;1;1;668
2;0;365;621;979;1;2;1;0;1;1;1455
2;0;468;284;497;1;2;1;0;1;1;1455
0;0;488;846;266;1;2;1;0;1;1;639
1;0;106;700;492;1;2;1;0;1;1;650
1;0;147;194;858;1;2;1;0;1;1;650
2;0;456;488;646;1;2;1;0;1;1;2177
1;0;579;521;449;1;2;1;0;1;1;686
1;0;810;232;643;1;2;1;0;1;1;686
1;0;421;260;799;1;2;1;0;1;1;686
1;0;915;924;279;1;2;1;0;1;1;756
1;0;385;875;845;1;2;1;0;1;1;756
0;0;485;646;716;1;2;1;0;1;1;756
0;0;918;371;238;1;2;1;0;1;1;775
